,Unnamed: 0,smile,label,x,y
57,57,O=C1C=C(C(=O)C(=C1C)OC(F)(F)F)C(F)(F)F,False,0.4880986902772468,0.6032786321869115
58,58,COC1=C(C(=S)C(=C(C1=S)C)Cl)C(F)(F)F,False,0.5597482075341224,0.8639009732439767
59,59,Nc1c(C)c(OC(F)(F)F)c(c(c1O)C(F)(F)F)N,False,0.8400846056500912,0.6709346964529578
60,60,S=C1C=C(OC(F)(F)F)C(=S)C(=C1C(F)(F)F)C,False,0.464328332807437,0.9729914074343767
61,61,Oc1c(O)c(N)c(c(c1N)C(F)(F)F)S,False,0.7702852409525754,0.39743277128502585
62,62,Oc1cnc(o1)Cl,False,0.5868890534348937,0.27715942507640995
63,63,Nc1c(F)c(C)c(c(c1C)C(F)(F)F)N,False,0.7780234432326788,0.4034213683340989
64,64,S=C1CC=C(C(=S)S1)F,False,0.45614682035444787,0.3894500535105284
65,65,COC1=C(C(=O)C(=C(C1=O)C(F)(F)F)C#N)C(F)(F)F,False,0.41911176674083594,0.7162447626809705
66,66,Nc1c(OC(F)(F)F)c(c(c(c1C(F)(F)F)S)N)C(F)(F)F,False,0.8256027939367804,0.6763004479964856
67,67,O=C1C(=C(N(=O)=O)C(=O)C(=C1Cl)N(=O)=O)S,False,0.2817541119094929,0.5359588094008356
68,68,O=N(=O)c1c(N)c(OC(F)(F)F)c(c(c1S)N)O,False,0.9590587334069217,0.2884736765706143
69,69,Nc1c(OC(F)(F)F)c(O)c(c(c1C)Cl)N,False,0.8461819373722415,0.6874413410435051
70,70,O=N(=O)C1=C(C(=S)C(=C(C1=S)S)O)C(F)(F)F,False,0.16959466559485173,0.6637069020455938
71,71,FC(Oc1cnc(s1)Cl)(F)F,False,0.6064549720928903,0.3077199905169206
72,72,O=N(=O)C1=C(C)C(=O)C(=C(C1=O)OC(F)(F)F)S,False,0.39171732265275677,0.4751434736701874
73,73,COc1c(N)c(O)c(c(c1N(=O)=O)N)C#N,False,0.8632318038341361,0.23457733824895718
74,74,N#CC1=C(C(=S)C(=C(C1=S)OC(F)(F)F)C(F)(F)F)C(F)(F)F,False,0.26118725257074293,0.9115704919997818
75,75,N#CC1=C(C)C(=S)C(=C(C1=S)Cl)C#N,False,0.34913576133034574,0.8603127642682925
76,76,N#CC1=C(O)C(=S)C(=C(C1=S)Cl)C,False,0.34720506024694997,0.8575621743965345
77,77,Cc1c(OC(F)(F)F)c(N)c(c(c1N)Cl)OC(F)(F)F,False,0.8477136859965375,0.6895105114193231
